schemaname,tablename,policyname,permissive,roles,cmd,qual,with_check
public,receiving_details,المستخدمون يرون تفاصيل عملياتهم,PERMISSIVE,{public},SELECT,"(EXISTS ( SELECT 1
   FROM receiving r
  WHERE ((r.operation_id = receiving_details.operation_id) AND (r.responsible = (( SELECT users.name
           FROM users
          WHERE ((users.email)::text = auth.email())))::text))))",null
public,receiving_details,المشرفون يرون كل التفاصيل,PERMISSIVE,{public},SELECT,"(EXISTS ( SELECT 1
   FROM users
  WHERE (((users.email)::text = auth.email()) AND ((users.role)::text = ANY ((ARRAY['مدير'::character varying, 'محاسب'::character varying, 'مشرف'::character varying, 'مدير مخازن'::character varying])::text[])))))",null
public,return_reasons,allow_read_return_reasons,PERMISSIVE,{public},SELECT,(auth.role() = 'authenticated'::text),null
public,return_reasons,allow_write_return_reasons,PERMISSIVE,{public},INSERT,null,"((auth.role() = 'authenticated'::text) AND (EXISTS ( SELECT 1
   FROM users
  WHERE (((users.email)::text = (auth.jwt() ->> 'email'::text)) AND ((users.role)::text = ANY ((ARRAY['مدير'::character varying, 'مشرف'::character varying, 'مالك'::character varying, 'owner'::character varying])::text[]))))))"
public,role_permissions,Allow all for all,PERMISSIVE,{public},ALL,true,true
public,roles,Allow all for all,PERMISSIVE,{public},ALL,true,true
public,run_sheet_details,allow_all_run_sheet_details,PERMISSIVE,{public},ALL,(auth.role() = 'authenticated'::text),(auth.role() = 'authenticated'::text)
public,runsheets,Allow all for all,PERMISSIVE,{public},ALL,true,true
public,runsheets,Owner can do everything on runsheets,PERMISSIVE,{public},ALL,(((auth.jwt() -> 'user_metadata'::text) ->> 'isOwner'::text) = 'true'::text),null
public,runsheets,allow_all_runsheets,PERMISSIVE,{public},ALL,(auth.role() = 'authenticated'::text),null
public,runsheets,runsheets_access,PERMISSIVE,{public},ALL,(auth.role() = 'authenticated'::text),null
public,service_complaints,allow_insert_service_complaints,PERMISSIVE,{public},INSERT,null,"((auth.role() = 'authenticated'::text) AND (EXISTS ( SELECT 1
   FROM users
  WHERE (((users.email)::text = (auth.jwt() ->> 'email'::text)) AND ((users.status)::text = 'Active'::text)))))"
public,service_complaints,allow_read_service_complaints,PERMISSIVE,{public},SELECT,(auth.role() = 'authenticated'::text),null
public,service_complaints,allow_update_service_complaints,PERMISSIVE,{public},UPDATE,"((auth.role() = 'authenticated'::text) AND (EXISTS ( SELECT 1
   FROM users
  WHERE (((users.email)::text = (auth.jwt() ->> 'email'::text)) AND ((users.role)::text = ANY ((ARRAY['مدير'::character varying, 'مشرف'::character varying, 'محاسب'::character varying, 'مالك'::character varying, 'owner'::character varying])::text[]))))))",null
public,stock_branches,Allow all for all,PERMISSIVE,{public},ALL,true,true
public,stock_branches,Owner can do everything on stock_branches,PERMISSIVE,{public},ALL,(((auth.jwt() -> 'user_metadata'::text) ->> 'isOwner'::text) = 'true'::text),null
public,stock_branches,stock_branches_access,PERMISSIVE,{public},ALL,(auth.role() = 'authenticated'::text),null
public,stock_discrepancies,Allow authenticated users to insert discrepancies,PERMISSIVE,{public},INSERT,null,true
public,stock_discrepancies,Allow authenticated users to read discrepancies,PERMISSIVE,{public},SELECT,true,null
public,stock_discrepancies,Allow supervisors to update discrepancies,PERMISSIVE,{public},UPDATE,"(EXISTS ( SELECT 1
   FROM users
  WHERE ((users.id = auth.uid()) AND (((users.role)::text = 'supervisor'::text) OR ((users.role)::text = 'owner'::text)))))","(EXISTS ( SELECT 1
   FROM users
  WHERE ((users.id = auth.uid()) AND (((users.role)::text = 'supervisor'::text) OR ((users.role)::text = 'owner'::text)))))"
public,stock_voucher_details,Allow all for all,PERMISSIVE,{public},ALL,true,true
public,stock_vouchers,Allow all for all,PERMISSIVE,{public},ALL,true,true
public,supplier_ledger,Allow all for all,PERMISSIVE,{public},ALL,true,true
public,suppliers,Allow all for all,PERMISSIVE,{public},ALL,true,true
public,suppliers,Owner can do everything on suppliers,PERMISSIVE,{public},ALL,(((auth.jwt() -> 'user_metadata'::text) ->> 'isOwner'::text) = 'true'::text),null
public,suppliers,suppliers_access,PERMISSIVE,{public},ALL,(auth.role() = 'authenticated'::text),null
public,treasury,Allow all for all,PERMISSIVE,{public},ALL,true,true
public,users,Allow all for all,PERMISSIVE,{public},ALL,true,true
public,users,Owner can do everything on users,PERMISSIVE,{public},ALL,(((auth.jwt() -> 'user_metadata'::text) ->> 'isOwner'::text) = 'true'::text),null
public,users,users_access,PERMISSIVE,{public},ALL,(auth.role() = 'authenticated'::text),null
public,vehicle_tracking,allow_all_vehicle_tracking,PERMISSIVE,{public},ALL,(auth.role() = 'authenticated'::text),null
public,vehicles,Allow all for all,PERMISSIVE,{public},ALL,true,true
public,work_orders,Enable all for authenticated users,PERMISSIVE,{public},ALL,(auth.role() = 'authenticated'::text),null
public,workflow_log,Allow authenticated access,PERMISSIVE,{public},ALL,(auth.role() = 'authenticated'::text),null
public,workflow_rules,Allow authenticated access,PERMISSIVE,{public},ALL,(auth.role() = 'authenticated'::text),null
public,workflows,Enable all for authenticated users,PERMISSIVE,{public},ALL,(auth.role() = 'authenticated'::text),null
